GiftId,TripId
37138,0
89840,1
83644,2
3286,3
78077,4
44128,5
32813,6
6300,7
12423,8
214,9
40368,10
57924,11
79594,12
5364,13
42602,14
66467,15
78632,16
77837,17
96253,18
32251,19
33501,20
31379,21
73189,22
61279,23
7480,24
39794,25
43881,26
86234,27
52994,28
18904,29
4778,30
80763,31
33588,32
89740,33
9467,34
87463,35
45648,36
24451,37
78855,38
81521,39
53439,40
70714,41
76722,42
27632,43
16920,44
59158,45
63480,46
78633,47
91077,48
95422,49
56124,50
48993,51
31498,52
52489,53
87589,54
40848,55
70589,56
50620,57
65542,58
99233,59
69461,60
93747,61
54131,62
82428,63
48319,64
1496,65
9160,66
36797,67
6857,68
36344,69
65199,70
47093,71
55237,72
76397,73
38388,74
40800,75
55256,76
47712,77
60195,78
62040,79
94673,80
87459,81
98078,82
14320,83
95979,0
71981,1
25136,2
47544,3
26091,4
74934,5
76236,6
8660,7
44549,8
3770,9
18330,10
24828,11
4751,12
95944,13
15432,14
90381,15
98975,16
37333,17
16916,18
25341,19
51969,20
50242,21
50033,22
29215,23
77757,24
32858,25
25985,26
69295,27
14672,28
68342,29
82568,30
43859,31
91130,32
62654,33
60760,34
87064,35
45702,36
8236,37
79143,38
80930,39
35534,40
2501,41
8135,42
3482,43
9143,44
32980,45
77988,46
11591,47
79126,48
14521,49
10659,50
68997,51
96872,52
77860,53
32733,0
49064,1
18285,2
89626,3
20668,4
74418,5
81571,6
87906,7
6058,8
80486,9
84604,10
94541,11
80116,12
59948,13
88200,14
88522,15
37673,16
20724,17
52692,18
35998,19
89565,20
57279,21
46244,22
42594,23
71482,24
64076,25
45493,26
31912,27
57271,28
65027,29
88095,30
69313,31
93047,32
94550,33
20209,34
64309,35
42229,36
13050,37
48703,38
1986,39
64134,40
51221,41
70658,42
7442,43
97955,44
94405,45
54235,46
4833,47
21816,48
3325,49
2722,50
75968,51
67239,52
45729,53
84114,54
14219,55
31294,56
7597,57
84246,58
57562,59
94387,60
35109,61
75254,62
52874,63
34342,64
29378,65
8372,66
94806,67
87581,68
67320,69
88251,70
47229,71
7536,72
76091,73
2448,74
58628,75
80827,76
1943,77
12626,78
29489,79
83849,80
52313,81
38441,82
40362,83
37270,0
32390,1
50341,2
14192,3
75895,4
74834,5
24368,6
88121,7
83994,8
22296,9
27432,10
50064,11
21573,12
60135,13
87505,14
6615,15
83140,16
16923,17
60370,18
96732,19
87273,20
49149,21
29777,22
35082,23
48075,24
33813,25
711,26
6031,27
43222,28
58376,29
10262,30
51839,31
48377,32
44042,33
98918,34
8803,35
59449,36
64664,37
32138,38
15741,39
90957,40
41566,41
3779,42
32369,43
23440,44
53236,45
69318,46
9563,47
37686,48
41507,49
65611,50
84313,51
61226,52
10997,53
27173,54
68913,55
83107,56
71984,57
72280,58
54133,59
65293,60
69622,61
29896,62
36886,63
41120,64
18253,65
7610,66
56797,67
53643,68
52142,69
48629,70
2162,0
41294,1
45580,2
31687,3
12833,4
56036,5
86553,6
97740,7
3249,8
64978,9
57509,10
54541,11
84752,12
25932,13
13803,14
88086,15
88649,16
67473,17
85674,18
17057,19
55447,20
43032,21
76887,22
35198,23
53284,24
70933,25
65527,26
63370,27
56909,28
65380,29
26329,30
36584,31
29427,32
82118,33
14990,34
31849,35
70787,36
13711,37
53384,38
14617,39
31319,40
4081,41
83067,42
17235,43
61904,44
81267,45
35740,46
18307,47
5779,48
54297,49
11428,50
25441,51
14170,52
72132,53
64150,54
13830,55
70317,56
80857,57
13481,58
39201,59
36409,60
70871,61
32057,62
72451,63
68226,64
46366,65
76847,66
47357,67
35806,68
46751,69
97472,70
72140,71
31001,72
79251,73
68048,74
12440,75
26956,76
42451,77
3948,78
2692,79
1359,0
78651,1
19411,2
42908,3
74333,4
51724,5
72438,6
51885,7
88612,8
94850,9
30292,10
8346,11
7006,12
73723,13
46777,14
84343,15
76023,16
85599,17
13310,18
95933,19
79895,20
54505,21
35346,22
17447,23
99608,24
12556,25
19160,26
57829,27
93644,28
37121,29
82565,30
29377,31
25005,32
54979,33
94916,34
83006,35
40202,36
51858,37
17347,38
38077,39
60210,40
67599,41
75206,42
429,43
89839,44
72759,45
93258,46
74910,47
25330,48
713,49
73338,50
75759,51
79290,52
31810,53
12168,54
96744,55
92599,56
54654,57
80352,58
65869,59
24658,60
250,61
89123,62
67450,63
48414,64
77827,65
66881,66
19642,67
71694,68
71002,69
92643,70
35788,71
79453,72
78936,0
16212,1
43428,2
99089,3
53440,4
6839,5
9819,6
6510,7
9459,8
61666,9
27954,10
55835,11
32349,12
71874,13
48961,14
89908,15
88487,16
34343,17
31212,18
52439,19
61550,20
94140,21
66162,22
97245,23
58197,24
53954,25
27760,26
54158,27
97773,28
78950,29
67744,30
9335,31
79698,32
26626,33
38250,34
39605,35
61937,36
72645,37
73812,38
94015,39
34443,40
49529,41
50842,42
80513,43
85096,44
78490,45
37986,46
2628,47
42119,48
73442,49
42285,50
50327,51
53282,52
32453,53
83213,54
96041,55
10849,56
23128,57
26027,58
82141,59
95016,60
33617,61
80730,62
9847,63
68674,64
91583,65
33370,66
83124,67
97768,68
47240,69
71396,70
35614,71
48865,72
78030,73
26479,74
57096,75
80663,76
14978,77
96093,78
76267,79
3481,0
75741,1
98817,2
40526,3
84796,4
8669,5
25519,6
68480,7
82132,8
85522,9
58388,10
13813,11
20472,12
80816,13
45179,14
86303,15
29985,16
79688,17
50954,18
88092,19
86464,20
34029,21
47713,22
78328,23
48238,24
66643,25
72290,26
63584,27
7711,28
72420,29
35178,30
1782,31
79148,32
38001,33
68946,34
18859,35
21758,36
93185,37
86707,38
12459,39
811,40
55606,41
4463,42
88282,43
79382,44
70786,45
6116,46
81253,47
79783,48
5075,49
32532,50
91377,51
80325,52
31805,53
95524,54
656,55
70492,56
67481,57
29108,58
88222,59
60957,60
88209,61
18568,62
86276,63
58557,64
41745,0
63542,1
67033,2
49192,3
20322,4
73954,5
65742,6
11468,7
60261,8
82889,9
3186,10
97405,11
18312,12
78183,13
54396,14
30081,15
1045,16
88191,17
82434,18
13540,19
17536,20
65257,21
93242,22
87935,23
78258,24
33030,25
12917,26
26756,27
10999,28
51120,29
38999,30
38575,31
91938,32
24717,33
26941,34
82664,35
83589,36
35777,37
7057,38
29435,39
24330,40
23122,41
21057,42
25003,43
87295,44
19143,45
10023,46
78299,47
65061,48
9523,49
54033,50
55502,51
85195,52
4472,53
37762,54
86109,55
58131,56
15032,57
42948,58
85279,59
43431,60
19825,61
60708,62
38046,0
54336,1
76289,2
41628,3
43299,4
99864,5
52517,6
93232,7
37520,8
29007,9
64407,10
37833,11
33836,12
61716,13
10949,14
71133,15
28380,16
43226,17
15446,18
64913,19
81187,20
3013,21
31769,22
73193,23
86519,24
34065,25
14510,26
11163,27
52091,28
5822,29
82645,30
45412,31
33597,32
34067,33
34364,34
23198,35
51433,36
63141,37
1193,38
43989,39
30207,40
8215,41
22894,42
45757,43
15614,44
8258,45
61079,46
13038,47
69743,48
56731,49
60405,50
40181,51
76263,52
87865,53
97705,54
77031,55
19576,56
70089,57
48683,58
8638,59
11452,60
44410,61
6200,0
74253,1
2055,2
11020,3
96223,4
55493,5
11650,6
11880,7
88991,8
60160,9
68142,10
41056,11
33731,12
96590,13
84159,14
57635,15
88055,16
39091,17
32889,18
25949,19
74986,20
4755,21
85498,22
11352,23
69282,24
44512,25
53183,26
71724,27
39065,28
89659,29
50108,30
18820,31
15754,32
8868,33
126,34
8107,35
7619,36
52307,37
84587,38
11374,39
65139,40
30324,41
50415,42
69256,43
86085,44
2594,45
23947,46
42443,47
49795,48
49923,49
32033,50
27626,51
5351,52
76387,53
19758,54
88619,55
62588,56
37962,57
56888,58
68890,59
16901,60
63457,61
42868,62
52244,63
37502,64
72259,65
36291,66
89345,67
6871,68
1808,69
1052,70
15139,71
19518,72
53097,73
24907,74
42919,75
87298,76
34847,77
77448,78
59311,79
53552,80
62775,81
46567,82
5960,83
78961,84
4875,85
48063,86
15010,87
47765,0
94437,1
